,arc,naa,nbv,nlth,nvi
24919,"Disse, pois: Certo homem nobre partiu para uma terra remota, a fim de tomar para si um reino e voltar depois.","Por isso, Jesus disse: — Certo homem nobre partiu para uma terra distante, a fim de tomar posse de um reino e voltar.",Ele disse: “Um homem nobre que morava em certa província foi chamado à distante capital do império para ser coroado rei da sua província.,"Então Jesus disse: — Certo homem de uma família importante foi para um país que ficava bem longe, para lá ser feito rei e depois voltar.",Ele disse: “Um homem de nobre nascimento foi para uma terra distante para ser coroado rei e depois voltar.
8937,"Então, Elias, o tisbita, dos moradores de Gileade, disse a Acabe: Vive o SENHOR, Deus de Israel, perante cuja face estou, que nestes anos nem orvalho nem chuva haverá, senão segundo a minha palavra.","Então Elias, o tesbita, dos moradores de Gileade, disse a Acabe: — Tão certo como vive o SENHOR, Deus de Israel, a quem eu sirvo, não haverá orvalho nem chuva nos próximos anos, a não ser quando eu disser.","Então Elias, profeta da cidade de Tesbi, em Gileade, disse ao rei Acabe: “Tão certo como vive o SENHOR, o Deus de Israel, o Deus a quem adoro e sirvo, não haverá orvalho nem chuva por diversos anos, enquanto eu não ordenar que chova!”","Um profeta chamado Elias, de Tisbé, na região de Gileade, disse ao rei Acabe: — Em nome do SENHOR, o Deus vivo de Israel, de quem sou servo, digo ao senhor que não vai cair orvalho nem chuva durante os próximos anos, até que eu diga para cair orvalho e chuva de novo.","Ora, Elias, de Tisbe , em Gileade, disse a Acabe: “Juro pelo nome do SENHOR, o Deus de Israel, a quem sirvo, que não cairá orvalho nem chuva nos anos seguintes, exceto mediante a minha palavra”."
16360,"Livra os que estão destinados à morte e salva os que são levados para a matança, se os puderes retirar.",Liberte os que estão sendo levados para a morte e salve os que cambaleiam ao ser levados para a matança.,Liberte as pessoas que estão sendo levadas à morte; socorra os que caminham tropeçando para o lugar onde serão mortos.,Procure salvar quem está sendo arrastado para a morte.,Liberte os que estão sendo levados para a morte; socorra os que caminham trêmulos para a matança!
23617,"E ele disse-lhes: Vinde vós, aqui à parte, a um lugar deserto, e repousai um pouco. Porque havia muitos que iam, e vinham, e não tinham tempo para comer.","E ele lhes disse: — Venham repousar um pouco, à parte, num lugar deserto. Isto porque eles não tinham tempo nem para comer, visto serem muitos os que iam e vinham.","Então Jesus sugeriu: “Vamos sair por um instante do meio do povo, para descansar”. Porque tanta gente ia e vinha que mal tinham tempo para comer.","Havia ali tanta gente, chegando e saindo, que Jesus e os apóstolos não tinham tempo nem para comer. Então ele lhes disse: — Venham! Vamos sozinhos para um lugar deserto a fim de descansarmos um pouco.","Havia muita gente indo e vindo, ao ponto de eles não terem tempo para comer. Jesus lhes disse: “Venham comigo para um lugar deserto e descansem um pouco”."
16830,"Conjuro-vos, ó filhas de Jerusalém, pelas gazelas e cervas do campo, que não acordeis nem desperteis o meu amor, até que queira.","Filhas de Jerusalém, jurem pelas gazelas e pelas corças selvagens que vocês não acordarão nem despertarão o amor, até que este o queira.","Moças de Jerusalém, prometam e jurem, pelas gazelas e corças do campo, que vocês não vão acordar o meu amado, nem despertar o meu amor enquanto ele não quiser.","Mulheres de Jerusalém, prometam e jurem, pelas gazelas e pelas corças selvagens, que vocês não vão perturbar o nosso amor.","Mulheres de Jerusalém, eu as faço jurar pelas gazelas e pelas corças do campo: não despertem nem provoquem o amor enquanto ele não o quiser."
15575,"Livra-me, ó SENHOR, dos meus inimigos; porque em ti é que eu me refugio.","Livra-me, SENHOR, dos meus inimigos; pois em ti é que me refugio.","SENHOR, livre-me dos meus inimigos, pois o Senhor é o meu abrigo seguro.","Ó SENHOR Deus, livra-me dos meus inimigos, pois em ti encontro proteção!","Livra-me dos meus inimigos, SENHOR, pois em ti eu me abrigo."
28704,"Andai com sabedoria para com os que estão de fora, remindo o tempo.",Sejam sábios no modo de agir com os que são de fora e aproveitem bem o tempo.,Aproveitem o máximo as suas oportunidades para contar o evangelho aos de fora. Sejam sábios em todos os seus contatos com eles.,Sejam sábios na sua maneira de agir com os que não creem e aproveitem bem o tempo que passarem com eles.,Sejam sábios no procedimento para com os de fora; aproveitem ao máximo todas as oportunidades.
23624,"E ele disse-lhes: Quantos pães tendes? Ide ver. E, sabendo-o eles, disseram: Cinco pães e dois peixes.",E Jesus lhes disse: — Quantos pães vocês têm? Tratem de descobrir! Eles foram se informar e responderam: — Cinco pães e dois peixes.,"“Quantos pães vocês têm?”, perguntou ele. “Vão verificar”. Eles voltaram e informaram que havia cinco pães e dois peixes.",Jesus perguntou: — Quantos pães vocês têm? Vão ver. Os discípulos foram ver e disseram: — Temos cinco pães e dois peixes.,"Perguntou ele: “Quantos pães vocês têm? Verifiquem”. Quando ficaram sabendo, disseram: “Cinco pães e dois peixes”."
286,E viveu Serugue trinta anos e gerou a Naor.,Serugue viveu trinta anos e gerou Naor;,Serugue tinha 30 anos quando nasceu seu filho Naor.,"Quando Serugue tinha trinta anos, nasceu o seu filho Naor.","Aos 30 anos, Serugue gerou Naor."
26074,"Disse-lhes, pois, Jesus: Filhos, tendes alguma coisa de comer? Responderam-lhe: Não.","Jesus lhes perguntou: — Filhos, será que vocês têm aí alguma coisa para comer? Eles responderam: — Não.","Ele lhes perguntou: “Filhos, pegaram muito peixe?” “Não”, responderam.","Então Jesus perguntou: — Moços, vocês pescaram alguma coisa? — Nada! — responderam eles.","Ele lhes perguntou: “Filhos, vocês têm algo para comer?” Eles responderam que não."
2495,"Falou mais Moisés a toda a congregação dos filhos de Israel, dizendo: Esta é a palavra que o SENHOR ordenou, dizendo:","Moisés disse a toda a congregação dos filhos de Israel: — Esta é a palavra que o SENHOR ordenou, dizendo:",Moisés continuou falando à comunidade de Israel. Ele disse: “Foi isto que o SENHOR mandou fazer:,Moisés disse a todo o povo de Israel: — É isto o que o SENHOR ordenou:,Disse Moisés a toda a comunidade de Israel: “Foi isto que o SENHOR ordenou:
23085,"Eu sou o Deus de Abraão, o Deus de Isaque e o Deus de Jacó? Ora, Deus não é Deus dos mortos, mas dos vivos.","“Eu sou o Deus de Abraão, o Deus de Isaque e o Deus de Jacó”? Ele não é Deus de mortos, e sim de vivos.","‘Eu sou o Deus de Abraão, o Deus de Isaque e o Deus de Jacó’? Ora, Deus não é Deus de mortos, mas de vivos”.","“Eu sou o Deus de Abraão, o Deus de Isaque e o Deus de Jacó.” E Deus não é Deus dos mortos e sim dos vivos.","‘Eu sou o Deus de Abraão, o Deus de Isaque e o Deus de Jacó’? Ele não é Deus de mortos, mas de vivos!”"
5205,Com boi e com jumento juntamente não lavrarás.,— Não lavre a terra com junta de boi e jumento.,“Não are a terra usando um boi e um jumento sob o mesmo jugo.,— Não ponha juntos um boi e um jumento para puxarem o arado.,“Não are a terra usando um boi e um jumento sob o mesmo jugo.
3236,"Não furtareis, nem mentireis, nem usareis de falsidade cada um com o seu próximo;","— Não furtem, não mintam, nem usem de falsidade uns com os outros.",“Não roube. “Não minta. “Não engane os outros.,"— Não roube, não minta e não engane os outros.",“Não furtem. “Não mintam. “Não enganem uns aos outros.
19289,"Diz o SENHOR dos Exércitos, Deus de Israel: Eis que eu visitarei Amom de Nô, e a Faraó, e ao Egito, e aos seus deuses, e aos seus reis; ao próprio Faraó e aos que confiam nele.","O SENHOR dos Exércitos, o Deus de Israel, diz: — Eis que eu castigarei Amom, deus de Tebas, e também Faraó, o Egito, os seus deuses e os seus reis, o próprio Faraó e os que confiam nele.","O SENHOR Todo-poderoso, o Deus de Israel, diz: “Castigarei Amom, deus de Tebas, e todos os outros deuses do Egito. Castigarei o faraó, os seus reis e todos os que confiam no faraó.","O SENHOR Todo-Poderoso, o Deus de Israel, disse: — Eu castigarei Amom, o deus de Tebas, e também o Egito, os seus deuses e os seus reis. Castigarei o rei do Egito e todos os que confiam nele.","O SENHOR dos Exércitos, o Deus de Israel, diz: “Castigarei Amom, deus de Tebas , o faraó, o Egito, seus deuses e seus reis, e também os que confiam no faraó."
29728,"Quem é o mentiroso, senão aquele que nega que Jesus é o Cristo? É o anticristo esse mesmo que nega o Pai e o Filho.","Quem é o mentiroso, senão aquele que nega que Jesus é o Cristo? Este é o anticristo, o que nega o Pai e o Filho.","E quem é o maior mentiroso? É aquele que afirma que Jesus não é o Cristo. Tal pessoa é o anticristo, porque nega o Pai e o seu Filho.",Então quem é mentiroso? É aquele que diz que Jesus não é o Messias. Quem diz isso é o Inimigo de Cristo; ele rejeita tanto o Pai como o Filho.,"Quem é o mentiroso, senão aquele que nega que Jesus é o Cristo? Este é o anticristo: aquele que nega o Pai e o Filho."
29600,"os quais em outro tempo foram rebeldes, quando a longanimidade de Deus esperava nos dias de Noé, enquanto se preparava a arca; na qual poucas (isto é, oito) almas se salvaram pela água,","os quais, noutro tempo, foram desobedientes, quando Deus aguardava com paciência nos dias de Noé, enquanto se preparava a arca, na qual poucas pessoas, apenas oito, foram salvas através da água.","— os espíritos daqueles que, muito tempo atrás, nos dias de Noé, tinham-se recusado a ouvir a Deus, embora ele esperasse por eles com a toda paciência enquanto Noé estava construindo a arca. Entretanto, apenas oito pessoas foram salvas pela água.","Estes eram os espíritos daqueles que não tinham obedecido a Deus, quando ele ficou esperando com paciência nos dias em que Noé estava construindo a barca. As poucas pessoas que estavam nela, oito ao todo, foram salvas pela água.","que há muito tempo desobedeceram, quando Deus esperava pacientemente nos dias de Noé, enquanto a arca era construída. Nela apenas algumas pessoas, a saber, oito, foram salvas por meio da água,"
20238,"E aumentou as suas impudicícias, porque viu homens pintados na parede, imagens dos caldeus, pintadas de vermelho; com os seus lombos cingidos e com tingidas tiaras largas na sua cabeça, todos com a aparência de capitães, semelhantes aos filhos de Babilônia em Caldeia, terra do seu nascimento.","Aumentou a sua prostituição, porque viu figuras de homens gravadas na parede, imagens dos caldeus, pintados de vermelho, de lombos cingidos e turbantes pendentes da cabeça, todos com aparência de oficiais, semelhantes aos filhos da Babilônia, nascidos na Caldeia.","“Mas Oolibá rebaixou-se ainda mais que sua irmã, pois apaixonou-se por desenhos na parede, figuras de caldeus, com belos uniformes vermelhos, cintos largos e turbantes de pano fino cobrindo suas cabeças. Eram figuras de altos oficiais da Babilônia.",— Oolibá se afundou cada vez mais na imoralidade. Foi atraída pelas figuras esculpidas na parede e pintadas de vermelho vivo. Eram figuras de altos oficiais da Babilônia. Eles usavam cinturões e turbantes de luxo.,"“Mas Oolibá levou sua prostituição ainda mais longe. Viu homens desenhados numa parede, figuras de caldeus em vermelho, usando cinturões e esvoaçantes turbantes na cabeça; todos se pareciam com os oficiais responsáveis pelos carros da Babilônia, nativos da Caldeia."
11260,"Ele, no ano primeiro do seu reinado, no mês primeiro, abriu as portas da Casa do SENHOR e as reparou.","No primeiro ano do seu reinado, no primeiro mês, abriu os portões da Casa do SENHOR e os reparou.","Logo no primeiro mês do primeiro ano de seu reinado, Ezequias abriu de novo as portas do templo e as consertou.","No primeiro mês do seu reinado, Ezequias abriu os portões do pátio do Templo e mandou consertá-los.","No primeiro mês do primeiro ano de seu reinado, ele reabriu as portas do templo do SENHOR e as consertou."
18314,"Dai voltas às ruas de Jerusalém, e vede agora, e informai-vos, e buscai pelas suas praças, a ver se achais alguém ou se há um homem que pratique a justiça ou busque a verdade; e eu lhe perdoarei.","Deem uma volta pelas ruas de Jerusalém, olhem, investiguem, procurem nas suas praças para ver se acham alguém, se há uma pessoa que pratique a justiça ou busque a verdade. Se acharem, eu perdoarei a cidade.","“Suba e desça pelas ruas de Jerusalém, ande por toda a cidade!” “Procure em cada praça, para ver se encontra pelo menos uma pessoa honesta e que busque a verdade! E se houver, eu perdoarei a cidade e não a destruirei!","Moradores de Jerusalém, procurem nas ruas! Olhem para todos os lados! Vejam com os seus próprios olhos! Procurem nas praças! Vejam se conseguem achar alguém que faça o que é direito e que procure ser fiel em tudo. Se acharem, Deus perdoará Jerusalém.","“Percorram as ruas de Jerusalém, olhem e observem. Procurem em suas praças para ver se podem encontrar alguém que aja com honestidade e que busque a verdade. Então eu perdoarei a cidade."
12938,Eis que já abri a minha boca; já falou a minha língua debaixo do meu paladar.,Passo agora a falar; em minha boca fala a língua.,"Agora que comecei, não me interrompa; minhas palavras estão na ponta da língua.",Estou pronto para começar e vou falar o que penso.,Estou prestes a abrir a boca; minhas palavras estão na ponta da língua.
19940,"Assim, cumprirei o meu furor contra a parede e contra os que a rebocam de cal não adubada e vos direi: A parede já não existe, nem aqueles que a rebocaram,","Assim, cumprirei o meu furor contra a parede e contra os que a cobriram com cal. E direi a vocês: ‘Já não existe parede, como também não existem aqueles que a cobriram de cal,","Assim, a minha ira contra o muro e os homens que o deixaram bonito por fora, mas cheio de falhas, será cumprida. Então direi a eles: O muro caiu e os que o pintaram com cal foram destruídos.","— A parede e os que a rebocaram sentirão a força da minha ira. Então direi a vocês: “A parede não existe mais, nem aqueles que a rebocaram,","Assim esgotarei minha ira contra o muro e contra aqueles que o caiaram. Direi a vocês: O muro se foi, e também aqueles que o caiaram,"
7354,"Davi, porém, disse ao filisteu: Tu vens a mim com espada, e com lança, e com escudo; porém eu vou a ti em nome do SENHOR dos Exércitos, o Deus dos exércitos de Israel, a quem tens afrontado.","Davi, porém, disse ao filisteu: — Você vem contra mim com espada, com lança e com escudo. Eu, porém, vou contra você em nome do SENHOR dos Exércitos, o Deus dos exércitos de Israel, a quem você afrontou.","Davi replicou: “Você vem a mim com uma espada, uma lança e um escudo, mas eu venho contra você em nome do SENHOR dos Exércitos, o Deus dos exércitos de Israel, que você insultou.","Davi respondeu: — Você vem contra mim com espada, lança e dardo. Mas eu vou contra você em nome do SENHOR Todo-Poderoso, o Deus dos exércitos israelitas, que você desafiou.","Davi, porém, disse ao filisteu: “Você vem contra mim com espada, com lança e com dardos, mas eu vou contra você em nome do SENHOR dos Exércitos, o Deus dos exércitos de Israel, a quem você desafiou."
804,"E aconteceu que, ouvindo Labão as novas de Jacó, filho de sua irmã, correu-lhe ao encontro, e abraçou-o, e beijou-o, e levou-o à sua casa. E contou ele a Labão todas estas coisas.","Quando Labão ouviu as novas de Jacó, filho de sua irmã, correu ao encontro dele, abraçou-o, beijou-o e o levou para casa. E Jacó contou a Labão tudo o que havia acontecido.","Assim que Labão ouviu as notícias a respeito de Jacó, filho de sua irmã, correu ao seu encontro, abraçou-o e o beijou. Em seguida, levou-o para sua casa, e Jacó contou tudo o que tinha acontecido durante a sua viagem.","Ele ouviu as novidades a respeito do seu sobrinho e logo saiu correndo. Quando encontrou Jacó, Labão o abraçou, e beijou, e o levou para casa. Jacó lhe contou tudo o que havia acontecido,","Logo que Labão ouviu as notícias acerca de Jacó, seu sobrinho, correu ao seu encontro, abraçou-o e o beijou. Depois, levou-o para casa, e Jacó contou-lhe tudo o que havia ocorrido."
25502,Respondeu-lhe Jesus: Não vos escolhi a vós os doze? E um de vós é um diabo.,"Então Jesus lhes disse: — Não é fato que eu escolhi vocês, os doze? Mas um de vocês é um diabo.","Então Jesus disse: “Eu escolhi vocês Doze; contudo, um é um diabo”.","Jesus disse: — Fui eu que escolhi todos vocês, os doze. No entanto um de vocês é um diabo!","Então Jesus respondeu: “Não fui eu que os escolhi, os Doze? Todavia, um de vocês é um diabo!”"
23269,"Disse-lhe Pedro: Ainda que me seja necessário morrer contigo, não te negarei. E todos os discípulos disseram o mesmo.","Pedro insistiu: — Ainda que me seja necessário morrer com o senhor, de modo nenhum o negarei. E todos os discípulos disseram o mesmo.","“Mesmo que seja necessário que eu morra com o Senhor, nunca o negarei!”, insistiu Pedro. E todos os outros discípulos disseram a mesma coisa.","Pedro respondeu: — Eu nunca vou dizer que não o conheço, mesmo que eu tenha de morrer com o senhor! E todos os outros discípulos disseram a mesma coisa.","Mas Pedro declarou: “Mesmo que seja preciso que eu morra contigo, nunca te negarei”. E todos os outros discípulos disseram o mesmo."
5486,"Recompensais, assim, ao SENHOR, povo louco e ignorante? Não é ele teu Pai, que te adquiriu, te fez e te estabeleceu?","É assim que vocês retribuem ao SENHOR, povo tolo e insensato? Não é ele o Pai de vocês, que os adquiriu, que os fez e estabeleceu?","Assim vocês tratam o SENHOR, povo insensato e ignorante? Não é ele o Pai de vocês, que os comprou, que os fez e os formou?","Povo sem juízo e sem sabedoria, é assim que tratam o SENHOR Deus? Ele é o seu Pai, que os criou; foi ele quem fundou e firmou a nação de vocês.","É assim que retribuem ao SENHOR, povo insensato e ignorante? Não é ele o Pai de vocês, o seu Criador , que os fez e os formou?"
13971,"Quando vês o ladrão, consentes com ele; e tens a tua parte com adúlteros.","Se vê um ladrão, você se torna amigo dele, e aos adúlteros você se associa.","Você sente prazer em ver o ladrão roubar, e se torna seu cúmplice, e anda com adúlteros.",Vocês ficam amigos de cada ladrão que encontram e andam com pessoas adúlteras.,"Você vê um ladrão e já se torna seu cúmplice, e com adúlteros se mistura."
15552,"Põe, ó SENHOR, uma guarda à minha boca; guarda a porta dos meus lábios.","Põe guarda à minha boca, SENHOR; vigia a porta dos meus lábios.","Ó SENHOR, ajude-me a tomar cuidado com o que falo; ajude-me a não falar o que não agrada ao Senhor.","Ó SENHOR, controla a minha boca e não me deixes falar o que não devo!","Coloca, SENHOR, uma guarda à minha boca; vigia a porta de meus lábios."
21265,"E, no fim do tempo, o rei do Sul lutará com ele, e o rei do Norte o acometerá com carros, e com cavaleiros, e com muitos navios; e entrará nas terras, e as inundará, e passará.","— No tempo do fim, o rei do Sul lutará contra ele, e o rei do Norte arremeterá contra ele com carros de guerra, cavaleiros e com muitos navios, e entrará nas suas terras, e as inundará, e passará.","“Quando o fim da história estiver chegando, o rei do sul se envolverá no combate. Além disso, o rei do norte também lutará contra ele, com um grande exército e muitos navios, invadindo e destruindo muitos países como uma inundação.","— Quando chegar o momento final, o rei do Egito atacará o rei da Síria, e este sairá ao seu encontro com todas as suas forças armadas, isto é, carros de guerra, a cavalaria e muitos navios. Como as águas de uma enchente, os seus soldados invadirão o Egito.","“No tempo do fim o rei do sul se envolverá em combate, e o rei do norte o atacará com carros e cavaleiros e uma grande frota de navios. Ele invadirá muitos países e avançará por eles como uma inundação."
655,E Abraão tomou outra mulher; o seu nome era Quetura.,"Abraão casou com outra mulher, que se chamava Quetura.","Abraão casou-se com outra mulher, chamada Quetura.","Abraão casou com outra mulher, que se chamava Quetura,","Abraão casou-se com outra mulher, chamada Quetura."
13650,"Não sejais como o cavalo, nem como a mula, que não têm entendimento, cuja boca precisa de cabresto e freio, para que se não atirem a ti.","Não sejam como o cavalo ou a mula, que não têm entendimento, que são dominados com freios e cabrestos; do contrário não obedecem a você.",Não seja teimoso como um cavalo ou uma mula que não tem entendimento; eles precisam de rédeas e freio para andarem pelo caminho certo.,"Não seja uma pessoa sem juízo como o cavalo ou a mula, que precisam ser guiados com cabresto e rédeas para que obedeçam.”","Não sejam como o cavalo ou o burro, que não têm entendimento mas precisam ser controlados com freios e rédeas; caso contrário não obedecem."
13114,Ou ordenarás aos raios que saiam e te digam: Eis-nos aqui?,"Você pode dar ordens aos relâmpagos, para que saiam e lhe digam: ‘Às suas ordens!’?","É você que envia os relâmpagos, e eles lhe dizem: ‘Aqui estamos’?",Você pode fazer com que os raios apareçam e venham dizer-lhe: ‘Estamos às suas ordens?’,"É você que envia os relâmpagos, e eles respondem: ‘Aqui estamos’?"
10706,"E o alpendre que estava na frente, de comprimento, segundo a largura da casa, era de vinte côvados, e a altura, de cento e vinte, o que, dentro, cobriu com ouro puro.","O pórtico diante da casa tinha nove metros no sentido da largura do Lugar Santo, e a altura era de cinquenta e quatro metros. Salomão revestiu o interior do pórtico de ouro puro.","Havia um alpendre na entrada do templo de nove metros de largura, com as paredes internas e o teto forrados de ouro! O telhado ficava a nove metros de altura.","A sala de entrada tinha nove metros de largura, que era a mesma largura do santuário, e a sua altura era de nove metros. Salomão revestiu de ouro puro o lado de dentro da sala.",O pórtico da entrada do templo tinha nove metros de largura e nove metros de altura. Ele revestiu de ouro puro o seu interior.
19111,"Estando ele à porta de Benjamim, achava-se ali um capitão da guarda, cujo nome era Jerias, filho de Selemias, filho de Hananias, o qual prendeu a Jeremias, o profeta, dizendo: Tu foges para os caldeus.","Ao chegar ao Portão de Benjamim, achava-se ali um capitão da guarda, cujo nome era Jerias, filho de Selemias, filho de Hananias. O capitão prendeu o profeta Jeremias, dizendo: — Você está fugindo para o lado dos caldeus.","Quando estava passando pelo portão de Benjamim, um guarda que vigiava o portão prendeu Jeremias, dizendo: “Você é um traidor! Está querendo fugir para junto do exército da Babilônia!” O nome do guarda era Jerias, filho de Selemias e neto de Hananias.","Ao chegar ao Portão de Benjamim, o chefe da guarda, chamado Jerias, que era filho de Selemias e neto de Hananias, me fez parar e disse: — Você está fugindo para o lado dos babilônios!","Mas, quando chegou à porta de Benjamim, o capitão da guarda, cujo nome era Jerias, filho de Selemias, filho de Hananias, o prendeu e disse: “Você está desertando para o lado dos babilônios!”"
23647,"Depois, perguntaram-lhe os fariseus e os escribas: Por que não andam os teus discípulos conforme a tradição dos antigos, mas comem com as mãos por lavar?","Os fariseus e os escribas perguntaram a Jesus: — Por que os seus discípulos não vivem conforme a tradição dos anciãos, mas comem com as mãos impuras?","Então os fariseus e os mestres da lei lhe perguntaram: “Por que os seus discípulos não seguem os nossos antigos e tradicionais costumes, pois eles comem sem primeiro seguir a cerimônia de lavar-se?”",Os fariseus e os mestres da Lei perguntaram a Jesus: — Por que é que os seus discípulos não obedecem aos ensinamentos dos antigos e comem sem lavar as mãos?,"Então os fariseus e os mestres da lei perguntaram a Jesus: “Por que os seus discípulos não vivem de acordo com a tradição dos líderes religiosos, em vez de comerem o alimento com as mãos impuras?”"
