,src_sent,pred_sent,reference_nbv,reference_nlth,reference_naa,reference_nvi,bleu_score
10,"""Envie-te socorro desde o seu santuário e te sustenha desde Sião.""
","""Envie-te socorro desde o seu santuário e o sustenha desde Sião.""
","""Que ele lhe mande socorro, do santuário onde vive, no monte Sião.""
","""Que, do seu Templo, Deus lhe envie socorro, e que, do monte Sião, ele o ajude!""
","""Que do seu santuário lhe envie socorro e que desde Sião o sustenha.""
","""Do santuário te envie auxílio e de Sião te dê apoio.""
",12.300686288463766
11,"""porque tinha curado a muitos, de tal maneira que todos quantos tinham algum mal se arrojavam sobre ele, para lhe tocarem.""
","""Porque tinha curado a muitos, de modo que todos os que tinham algum mal se <unk> sobre ele, para lhe tocarem.""
","""Porque ele tinha curado a muitos naquele dia, e grande número de doentes estava aglomerado ao seu redor, procurando tocar nele.""
","""Pois ele estava curando tanta gente, que todos os doentes se juntavam em volta dele para tocá-lo.""
","""Pois curava muitas pessoas, de modo que todos os que tinham alguma enfermidade se esforçavam para chegar perto, a fim de poderem tocar nele.""
","""Pois ele havia curado a muitos, de modo que os que sofriam de doenças ficavam se empurrando para conseguir tocar nele.""
",45.07488829318056
12,"""E ligaram-se entre si todos, para virem atacar Jerusalém e para os desviarem do seu intento.""
","""e <unk> entre si todos, Jerusalém e para os desviarem do seu intento.""
","""Tramaram levar um exército contra Jerusalém para provocar revoltas e confusão.""
","""Aí se reuniram e combinaram que viriam juntos atacar Jerusalém e provocar confusão.""
","""Todos se ajuntaram de comum acordo para virem atacar Jerusalém e criar confusão ali.""
","""Todos juntos planejaram atacar Jerusalém e causar confusão.""
",3.5025412310639736
13,"""e dou-lhes a vida eterna, e nunca hão de perecer, e ninguém as arrebatará das minhas mãos.""
","""e <unk> a vida eterna, e não hão de perecer, e ninguém as <unk>
","""Eu lhes dou a vida eterna, e elas nunca morrerão. Ninguém poderá arrancá-las da minha mão,""
","""Eu lhes dou a vida eterna, e por isso elas nunca morrerão. Ninguém poderá arrancá-las da minha mão.""
","""Eu lhes dou a vida eterna; jamais perecerão, e ninguém as arrebatará da minha mão.""
","""Eu lhes dou a vida eterna, e elas jamais perecerão; ninguém as poderá arrancar da minha mão.""
",27.40327099969341
14,"""Melhor é a sabedoria do que as armas de guerra, mas um só pecador destrói muitos bens.""
","""Melhor é a sabedoria do que as armas de guerra, mas um pecador destrói muitos bens.""
","""A sabedoria é melhor que as armas de guerra, mas um só pecador pode destruir bons planos.""
","""A sabedoria vale mais do que armas de guerra, mas uma decisão errada pode estragar os melhores planos.""
","""Melhor é a sabedoria do que as armas de guerra, mas um só pecador destrói muitas coisas boas.""
","""A sabedoria é melhor do que as armas de guerra, mas um só pecador destrói muita coisa boa.""
",70.77721081325346
15,"""E o Anjo do SENHOR apareceu a esta mulher e disse-lhe: Eis que, agora, és estéril e nunca tens concebido; porém conceberás e terás um filho.""
","""O Anjo do SENHOR apareceu a esta mulher e disse: — Eis que, agora você é estéril e nunca um filho.""
","""Então, um dia, apareceu o Anjo do SENHOR à mulher de Manoá, e disse a ela: “Até agora você não pôde ter filhos, mas agora você vai engravidar e dar à luz um filho.""
","""O Anjo do SENHOR apareceu a ela e disse: — Você não podia ter filhos e por isso nunca foi mãe. Mas agora você ficará grávida e terá um filho.""
","""O Anjo do SENHOR apareceu a essa mulher e lhe disse: — Eis que você é estéril e nunca teve filhos, mas você ficará grávida e dará à luz um filho.""
","""Certo dia o Anjo do SENHOR apareceu a ela e lhe disse: “Você é estéril, não tem filhos, mas engravidará e dará à luz um filho.""
",52.764229165016246
16,"""o cavalo de guerra, bem-cingido pelos lombos; o bode também; e o rei, a quem se não pode resistir.""
","""o cavalo de guerra, <unk> pelos lombos; o bode e o rei, a quem não pode resistir.""
","""o galo, que vive exibindo sua beleza; o bode; e o rei diante do seu exército.""
","""o bode; o galo, que anda de peito erguido; e um rei diante do seu povo.""
","""o galo, que anda ereto; o bode; e o rei, a quem não se pode resistir.""
","""o galo de andar altivo; o bode; e o rei à frente do seu exército.""
",41.072675483179786
17,"""Estas são as famílias de Issacar, segundo os que foram deles contados, sessenta e quatro mil e trezentos.""
","""São estas as famílias de Issacar, segundo os que foram deles contados, contados, era sessenta e quatro mil e trezentos.""
","""Foram contados dos grupos de famílias de Issacar 64.300 homens.""
","""Desses grupos de famílias foram contados sessenta e quatro mil e trezentos homens.""
","""São estas as famílias de Issacar, segundo os que foram deles contados, num total de sessenta e quatro mil e trezentos.""
","""Esses foram os clãs de Issacar; foram contados 64.300 homens.""
",81.20341702859794
18,"""Por quê? Porque não foi pela fé, mas como que pelas obras da lei. Tropeçaram na pedra de tropeço,""
","""Por isso, Porque não foi pela fé, mas não foi pela fé, mas como pelas obras da lei. <unk> na pedra de tropeço,""
","""E por que não? Porque não a buscavam pela fé, mas por meio de suas boas ações. Assim, tropeçaram na pedra de tropeço.""
","""E por que não? Porque eles procuravam alcançar isso por meio das suas ações e não por meio da fé. Eles tropeçaram na “pedra de tropeço”,""
","""Por quê? Porque não a buscou pela fé, mas como que por obras. Tropeçaram na pedra de tropeço,""
","""Por que não? Porque não a buscava pela fé, mas como se fosse por obras. Eles tropeçaram na “pedra de tropeço”.""
",30.73370724719807
19,"""apesar de não haver violência nas minhas mãos e de ser pura a minha oração.""
","""apesar de não haver violência nas minhas mãos e de ser <unk>
","""Tudo isso me acontece embora eu seja inocente e não haja violência em minhas mãos e sejam sinceras as minhas orações.""
","""No entanto, nunca fui violento, e as minhas orações sempre foram sinceras.""
","""embora não haja violência nas minhas mãos, e seja pura a minha oração.”""
","""apesar de não haver violência em minhas mãos e de ser pura a minha oração.""
",59.772307023941465
20,"""E também disse o rei assim: Bendito o SENHOR, Deus de Israel, que hoje tem dado quem se assente no meu trono e que os meus olhos o vissem.""
","""Então o rei disse: “Bendito também o SENHOR, o Deus de Israel, que hoje tem dado quem se assente no meu trono e que os meus olhos o vissem.""
","""e orou: ‘Bendito seja o SENHOR, o Deus de Israel, que escolheu um de meus filhos para sentar-se no meu trono e permitiu que os meus olhos o vissem hoje’ ”.""
","""e orou assim: “Louvado seja o SENHOR, o Deus de Israel, que hoje colocou um dos meus descendentes como rei em meu lugar e deixou que eu vivesse para ver isso!”""
","""O rei também disse o seguinte: “Bendito seja o SENHOR, Deus de Israel, que deu hoje quem se assente no meu trono, e permitiu que eu o visse com os meus próprios olhos.”""
","""e disse: ‘Bendito seja o SENHOR, o Deus de Israel, que permitiu que os meus olhos vissem hoje um sucessor em meu trono’ ”.""
",57.25284524337956
21,"""e Naassom gerou a Salma, e Salma gerou a Boaz;""
","""e Naassom gerou Salma, <unk> gerou Boaz;""
","""Naassom foi o pai de Salma, e Salma foi o pai de Boaz.""
","""Nasom foi pai de Salma, e Salma foi pai de Boaz;""
","""Naassom gerou Salma, e Salma gerou Boaz;""
","""Naassom gerou Salmom , Salmom gerou Boaz,""
",40.89601472043678
22,"""A voz do SENHOR clama à cidade, e o sábio verá o teu nome: Ouvi a vara e quem a ordenou.""
","""A voz do SENHOR clama à cidade, e o sábio verá o seu nome: Ouvi a vara e quem a ordenou.""
","""A voz do SENHOR grita a toda a Jerusalém — e se você for sábio, ouça ao SENHOR! “Ouçam, tribo de Judá e suas assembleias:""
","""O SENHOR está falando com a cidade de Jerusalém, e os que são sábios ouvem com respeito o que Deus está dizendo. Ele diz: — Tribo de Judá e moradores de Jerusalém, escutem!""
","""A voz do SENHOR se dirige à cidade, e é verdadeira sabedoria temer o seu nome. “Escutem, ó tribo e todos os moradores!""
","""A voz do SENHOR está clamando à cidade; é sensato temer o seu nome! “Ouçam, tribo de Judá e assembleia da cidade!""
",28.180375610975457
23,"""Pelo que estou cheio do furor do SENHOR; estou cansado de o conter; derramá-lo-ei sobre os meninos pelas ruas e nas reuniões dos jovens juntamente; porque até o marido com a mulher serão presos, e o velho, com o que está cheio de dias.""
","""Por isso estou cheio do furor do SENHOR, estou cheio de o conter; <unk> sobre os meninos pelas ruas pelas ruas e nas reuniões dos jovens pelas ruas pelas ruas e nas <unk> dos jovens e nas <unk>
","""Por tudo isso, estou cheio da ira do SENHOR contra eles; já não aguento mais reter essa ira dentro de mim. “Derrama-a sobre Jerusalém, sobre as crianças que brincam na rua, sobre os grupos de jovens, sobre os maridos e mulheres, os velhos de idade bem avançada.""
","""Ó SENHOR Deus, o teu furor me dominou; estou cansado de guardar a tua ira dentro de mim. Então Deus me disse: — Faça cair a minha ira sobre as crianças nas ruas e sobre os moços nas suas reuniões. Maridos e esposas serão levados como prisioneiros, e também os velhinhos.""
","""Por isso, estou repleto da ira do SENHOR; estou cansado de guardá-la dentro de mim. “Derrame-a sobre as crianças pelas ruas e sobre os jovens nas suas reuniões. Porque até o marido e a mulher serão presos, e também os velhos e os que têm idade avançada.""
","""Mas a ira do SENHOR dentro de mim transborda, já não posso retê-la. “Derrama-a sobre as crianças na rua e sobre os jovens reunidos em grupos; pois eles também serão pegos com os maridos e as mulheres, os velhos e os de idade bem avançada.""
",5.445325687894749
24,"""Também a mulher que se chegar a algum animal, para ter ajuntamento com ele, aquela mulher matarás com o animal; certamente morrerão; o seu sangue é sobre eles.""
","""Também a mulher que se chegar a algum animal, a mulher matarás com o animal; certamente morrerão; o sangue é sobre eles.""
","""“Se uma mulher tiver relações sexuais com algum animal, ambos serão mortos; eles são responsáveis pela sua própria morte.""
","""Se uma mulher tiver relações com um animal, os dois deverão ser mortos; eles serão responsáveis pela sua própria morte.""
","""Se uma mulher se aproximar de algum animal e tiver relações com ele, matem tanto a mulher como o animal; o seu sangue cairá sobre eles.""
","""“Se uma mulher se aproximar de algum animal para ajuntar-se com ele, vocês matarão a mulher e o animal. Ambos terão que ser executados, pois merecem a morte.""
",19.56475149792291
25,"""E à mulher disse: Multiplicarei grandemente a tua dor e a tua conceição; com dor terás filhos; e o teu desejo será para o teu marido, e ele te dominará.""
","""A mulher disse: — Multiplicarei a sua dor e a sua conceição; e a sua conceição; terás filhos, e ele o dominará.""
","""E o SENHOR Deus disse à mulher: “Você terá muitas dores durante a gravidez; com sofrimento você dará à luz filhos. Apesar disso, seu desejo será para o seu marido, e ele a dominará”.""
","""Para a mulher Deus disse: — Vou aumentar o seu sofrimento na gravidez, e com muita dor você dará à luz filhos. Apesar disso, você terá desejo de estar com o seu marido, e ele a dominará.""
","""E à mulher ele disse: — Aumentarei em muito os seus sofrimentos na gravidez; com dor você dará à luz filhos. O seu desejo será para o seu marido, e ele a governará.""
","""À mulher, ele declarou: “Multiplicarei grandemente o seu sofrimento na gravidez; com sofrimento você dará à luz filhos. Seu desejo será para o seu marido, e ele a dominará”.""
",6.589577846002171
26,"""Depois, disse José a seus irmãos e à casa de seu pai: Eu subirei, e anunciarei a Faraó, e lhe direi: Meus irmãos e a casa de meu pai, que estavam na terra de Canaã, vieram a mim.""
","""Então José disse a seus irmãos e à casa de seu pai, e anunciarei a Faraó, e anunciarei a Faraó, e a casa de meu pai, vieram a mim.""
","""E José disse aos irmãos e a toda a família de seu pai: “Vou falar com o faraó e lhe direi: ‘Meus irmãos e toda a família de meu pai, que estavam na terra de Canaã, vieram para cá.""
","""Depois José disse aos irmãos e à família do pai: — Eu vou falar com o rei do Egito e vou lhe dar a notícia de que os meus irmãos e os parentes do meu pai, que moravam em Canaã, vieram para ficar comigo.""
","""E José disse a seus irmãos e à casa de seu pai: — Partirei e darei a notícia a Faraó, dizendo: “Meus irmãos e a casa de meu pai, que estavam na terra de Canaã, vieram para junto de mim.""
","""Então José disse aos seus irmãos e a toda a família de seu pai: “Vou partir e informar ao faraó que os meus irmãos e toda a família de meu pai, que viviam em Canaã, vieram para cá.""
",46.549551575443196
27,"""Depois, fez chegar o carneiro do holocausto; e Arão e seus filhos puseram as mãos sobre a cabeça do carneiro;""
","""Então fez chegar o carneiro do holocausto; Arão e seus filhos puseram as mãos sobre a cabeça do carneiro;""
","""Depois Moisés mandou trazer o carneiro da oferta queimada. Arão e seus filhos puseram as mãos sobre a cabeça do carneiro,""
","""Depois Moisés pegou o carneiro que ia ser morto para a oferta queimada, e Arão e os seus filhos puseram as mãos na cabeça do animal.""
","""Depois, fez chegar o carneiro do holocausto; e Arão e seus filhos puseram as mãos sobre a cabeça do carneiro.""
","""Mandou trazer então o carneiro para o holocausto, e Arão e seus filhos puseram as mãos sobre a cabeça do carneiro.""
",69.35232377939268
28,"""E Davi contou o povo que tinha consigo e pôs sobre eles capitães de cem.""
","""Davi contou o povo que tinha consigo e pôs capitães de cem.""
","""Davi escolheu comandantes de mil e de cem de suas tropas, distribuindo os homens da seguinte maneira:""
","""O rei Davi juntou todos os seus soldados, dividiu-os em grupos de mil e em grupos de cem e colocou oficiais para comandá-los.""
","""Davi contou os soldados que tinha consigo e pôs sobre eles capitães de mil e capitães de cem.""
","""Davi passou em revista o exército e nomeou comandantes de batalhões de mil e de cem.""
",45.0478099011514
29,"""Porque será naquele dia, diz o SENHOR dos Exércitos, que eu quebrarei o seu jugo de sobre o teu pescoço e quebrarei as tuas ataduras; e nunca mais se servirão dele os estranhos,""
","""Porque naquele dia, diz o SENHOR dos Exércitos, que eu quebrarei o seu jugo de sobre o seu pescoço e quebrarei as suas ataduras; e nunca mais servirão de estranhos,""
","""“Naquela ocasião”, diz o SENHOR Todo-poderoso, “quebrarei a canga sobre o pescoço deles e as correntes da escravidão. Nunca mais serão escravizados por outras nações.""
","""O SENHOR Todo-Poderoso diz: — Quando esse dia chegar, eu quebrarei a canga que está no pescoço deles e arrancarei as suas correntes. Então eles não serão mais escravos de estrangeiros.""
","""— Naquele dia, diz o SENHOR dos Exércitos, eu quebrarei o jugo que está sobre o pescoço de vocês e despedaçarei as correias. E nunca mais estrangeiros irão escravizar este povo,""
","""“Naquele dia”, declara o SENHOR dos Exércitos, “quebrarei o jugo que está sobre o pescoço deles e arrebentarei as suas correntes; não mais serão escravizados pelos estrangeiros.""
",29.4165407283348
30,"""Diante dele temerão os povos; todos os rostos são como a tisnadura da panela.""
","""Diante de Deus temerão os povos; todos os rostos são como a tisnadura
","""O medo toma conta dos povos que esperam; seus rostos ficam pálidos de pavor.""
","""Eles vão avançando, e todo mundo treme, todos ficam pálidos de medo.""
","""Diante deles, os povos tremem; todos os rostos empalidecem.""
","""Diante deles povos se contorcem angustiados; todos os rostos ficam pálidos de medo.""
",22.894156860669913
31,"""Um certo credor tinha dois devedores; um devia-lhe quinhentos dinheiros, e outro, cinquenta.""
","""Um credor tinha dois devedores; um quilo.""
","""“Um homem emprestou dinheiro a duas pessoas. Um lhe devia quinhentas moedas de prata e o outro cinquenta.""
","""Jesus disse: — Dois homens tinham uma dívida com um homem que costumava emprestar dinheiro. Um deles devia quinhentas moedas de prata, e o outro, cinquenta,""
","""Jesus continuou: — Certo credor tinha dois devedores: um lhe devia quinhentos denários, e o outro devia cinquenta.""
","""“Dois homens deviam a certo credor. Um lhe devia quinhentos denários e o outro, cinquenta.""
",13.624481385266128
32,"""E todo o Israel, com os seus anciãos, e os seus príncipes, e os seus juízes estavam de uma e outra banda da arca, perante os sacerdotes levitas, que levavam a arca do concerto do SENHOR, assim estrangeiros como naturais; metade deles em frente do monte Gerizim, e a outra metade em frente do monte Ebal; como Moisés, servo do SENHOR, ordenara, para abençoar primeiramente o povo de Israel.""
","""Todo o Israel, com os seus líderes e os seus oficiais e os seus príncipes, e os seus juízes estavam em frente do monte Gerizim, e a outra metade em frente do monte Gerizim, e a outra metade em frente do monte Ebal; como o povo de Israel.""
","""Então todo o povo de Israel, tanto os estrangeiros que moravam com os israelitas, assim como os naturais da terra, com os seus líderes, oficiais e juízes, estavam de pé dos dois lados diante dos sacerdotes levitas que levavam a arca da aliança do SENHOR. Metade deles ficou ao pé do monte Gerizim e metade ao pé do monte Ebal. Tudo foi feito de acordo com as instruções dadas muito antes por Moisés, servo do SENHOR, para abençoar o povo de Israel.""
","""E todos os israelitas, com os seus líderes, autoridades e juízes e também todos os estrangeiros que viviam no meio deles ficaram de um lado e de outro da arca da aliança. E outros ficaram de frente para os sacerdotes levitas que carregavam a arca. Metade do povo ficou em frente do monte Gerizim, e a outra metade, em frente do monte Ebal. Moisés, servo do SENHOR, tinha dado ordem para o povo se colocar nessa posição na hora de receber a bênção.""
","""Todo o Israel, tanto estrangeiros como naturais, com os seus anciãos, os seus chefes e os seus juízes estavam de um e de outro lado da arca, diante dos sacerdotes levitas que levavam a arca da aliança do SENHOR. Metade deles se postou em frente do monte Gerizim, e a outra metade, em frente do monte Ebal, como Moisés, servo do SENHOR, havia ordenado anteriormente, para que o povo de Israel fosse abençoado.""
","""Todo o Israel, estrangeiros e naturais da terra, com os seus líderes, os seus oficiais e os seus juízes, estavam em pé dos dois lados da arca da aliança do SENHOR, diante dos sacerdotes levitas, que a carregavam. Metade do povo estava em pé, defronte do monte Gerizim, e metade defronte do monte Ebal. Tudo conforme Moisés, servo do SENHOR, tinha ordenado anteriormente, para que o povo de Israel fosse abençoado.""
",32.551563650192804
33,"""E tomai em vossas mãos dinheiro dobrado; e o dinheiro que tornou na boca dos vossos sacos tornai a levar em vossas mãos; bem pode ser que fosse erro.""
","""— Todos os sacos de guerra <unk> e o dinheiro que tornou a levar na boca dos seus pés, <unk> a fim de que fosse erro.""
","""Levem dinheiro em dobro, e devolvam o pagamento da primeira compra que foi colocado na boca dos sacos de vocês. Pode ser que o dinheiro foi colocado nos sacos por engano.""
","""Levem também o dinheiro em dobro, pois vocês precisam devolver a quantia que foi encontrada na boca dos sacos de mantimentos que vocês trouxeram. Deve ter havido algum engano.""
","""Levem dinheiro em dobro. E devolvam o dinheiro restituído na boca dos sacos de cereal; é possível que tenha havido algum engano.""
","""Levem prata em dobro, e devolvam a prata que foi colocada de volta na boca da bagagem de vocês. Talvez isso tenha acontecido por engano.""
",5.177813034788799
34,"""Portanto, irmãos, procurai, com zelo, profetizar e não proibais falar línguas.""
","""Por isso, irmãos, <unk> com zelo, profetizar e não <unk>
","""Portanto, meus irmãos na fé, anseiem por ser profetas, a fim de que possam anunciar com clareza a mensagem de Deus; e não proíbam o falar em línguas.""
","""Assim, meus irmãos, procurem sempre anunciar a mensagem de Deus, mas não proíbam que se fale em línguas estranhas.""
","""Portanto, meus irmãos, procurem com zelo o dom de profetizar e não proíbam que se fale em línguas.""
","""Portanto, meus irmãos, busquem com dedicação o profetizar e não proíbam o falar em línguas.""
",7.687354136458148
35,"""E de Sião se dirá: Este e aquele nasceram ali; e o mesmo Altíssimo a estabelecerá.""
","""E de Sião se dirá: “Este e aquele que nasceram ali. O mesmo Altíssimo a estabelecerá.""
","""A respeito de Sião as pessoas dirão: “Todos estes nasceram em Sião, e o próprio Altíssimo fará dela uma cidade segura e feliz”.""
","""A respeito de Jerusalém as pessoas dirão que todos os povos são dali e que o Deus Altíssimo a tornará uma cidade forte.""
","""E a respeito de Sião se dirá: “Este e aquele nasceram nela”; e o próprio Altíssimo a estabelecerá.""
","""De fato, acerca de Sião se dirá: “Todos estes nasceram em Sião, e o próprio Altíssimo a estabelecerá”.""
",49.72358703367457
36,"""Convertei-vos, pois, àquele contra quem os filhos de Israel se rebelaram tão profundamente.""
","""Por isso o que os filhos de Israel se rebelaram tão <unk>
","""Por isso, voltem para aquele contra quem vocês se revoltaram, voltem a confiar naquele de quem vocês se afastaram tanto, ó israelitas!""
","""Povo de Israel, vocês se afastaram para longe de Deus; mas agora arrependam-se e voltem para ele.""
","""Ó filhos de Israel, voltem-se para aquele contra quem vocês se rebelaram tão profundamente.""
","""Voltem para aquele contra quem vocês se revoltaram tão tremendamente, ó israelitas!""
",13.950501331858424
37,"""Ficarei, porém, em Éfeso até ao Pentecostes;""
","""Ficarei, em Éfeso até o Pentecostes;""
","""Permanecerei aqui em Éfeso até o Pentecoste,""
","""Resolvi ficar aqui em Éfeso até o dia de Pentecostes.""
","""Mas ficarei em Éfeso até o Pentecostes,""
","""Mas permanecerei em Éfeso até o Pentecoste,""
",44.17918226831576
38,"""(como foi mesmo o testemunho de Cristo confirmado entre vós).""
","""(como foi mesmo o testemunho de Cristo confirmado por meio de <unk>
","""o que eu lhes disse que Cristo podia fazer por vocês foi confirmado entre vocês!""
","""A mensagem a respeito de Cristo está tão firme em vocês,""
","""assim como o testemunho de Cristo tem sido confirmado em vocês,""
","""porque o testemunho de Cristo foi confirmado entre vocês,""
",18.751144583834648
